dia_semana_fechamento,periodo_fechamento,delta_dias,volume_retido,volume_cancelado
01-seg,manhã,D0,10,51
01-seg,manhã,D1,11,12
01-seg,manhã,D2,26,28
01-seg,manhã,D3,13,20
01-seg,manhã,D4+,8,74
01-seg,noite,D0,24,26
01-seg,noite,D1,5,2
01-seg,noite,D2,25,10
01-seg,noite,D3,9,14
01-seg,noite,D4+,4,39
01-seg,tarde,D0,38,57
01-seg,tarde,D1,16,18
01-seg,tarde,D2,23,19
01-seg,tarde,D3,21,21
01-seg,tarde,D4+,21,56
02-ter,manhã,D0,20,29
02-ter,manhã,D1,49,38
02-ter,manhã,D2,5,4
02-ter,manhã,D3,6,8
02-ter,manhã,D4+,13,23
02-ter,noite,D0,25,24
02-ter,noite,D1,25,33
02-ter,noite,D2,2,1
02-ter,noite,D3,5,3
02-ter,noite,D4+,8,16
02-ter,tarde,D0,29,49
02-ter,tarde,D1,64,61
02-ter,tarde,D2,5,5
02-ter,tarde,D3,11,9
02-ter,tarde,D4+,12,59
03-qua,manhã,D0,24,68
03-qua,manhã,D1,32,37
03-qua,manhã,D2,26,31
03-qua,manhã,D3,1,3
03-qua,manhã,D4+,15,33
03-qua,noite,D0,27,32
03-qua,noite,D1,15,18
03-qua,noite,D2,4,7
03-qua,noite,D3,1,0
03-qua,noite,D4+,1,8
03-qua,tarde,D0,37,62
03-qua,tarde,D1,58,49
03-qua,tarde,D2,27,16
03-qua,tarde,D3,3,0
03-qua,tarde,D4+,9,23
04-qui,manhã,D0,15,37
04-qui,manhã,D1,48,42
04-qui,manhã,D2,9,9
04-qui,manhã,D3,3,15
04-qui,manhã,D4+,2,14
04-qui,noite,D0,28,14
04-qui,noite,D1,12,16
04-qui,noite,D2,12,11
04-qui,noite,D3,1,39
04-qui,noite,D4+,1,5
04-qui,tarde,D0,32,58
04-qui,tarde,D1,51,47
04-qui,tarde,D2,22,20
04-qui,tarde,D3,5,25
04-qui,tarde,D4+,1,7
05-sex,manhã,D0,14,37
05-sex,manhã,D1,41,43
05-sex,manhã,D2,13,22
05-sex,manhã,D3,9,23
05-sex,manhã,D4+,5,17
05-sex,noite,D0,36,36
05-sex,noite,D1,14,14
05-sex,noite,D2,6,92
05-sex,noite,D3,3,52
05-sex,noite,D4+,3,24
05-sex,tarde,D0,44,73
05-sex,tarde,D1,54,62
05-sex,tarde,D2,17,72
05-sex,tarde,D3,5,35
05-sex,tarde,D4+,2,33
06-sab,manhã,D0,12,31
06-sab,manhã,D1,42,43
06-sab,manhã,D2,12,17
06-sab,manhã,D3,7,12
06-sab,manhã,D4+,3,18
06-sab,noite,D0,14,22
06-sab,noite,D1,14,18
06-sab,noite,D2,0,2
06-sab,noite,D3,4,4
06-sab,noite,D4+,5,2
06-sab,tarde,D0,29,30
06-sab,tarde,D1,50,45
06-sab,tarde,D2,10,70
06-sab,tarde,D3,8,15
06-sab,tarde,D4+,11,6
